ReducedComplementCBA:
Count: 261
feasibleCBA | complement | reduced complement
0000011101111011110001110011110 | 1111100010000100001110001100001 | 1111100010000100001110001100001
0111101111111100001001110011110 | 1000010000000011110110001100001 | 1000010000000011110110001100001
0011001111111110101001110011110 | 1100110000000001010110001100001 | 1100110000000001010110001100000
0000001111111100111001110011110 | 1111110000000011000110001100001 | 1111110000000011000110001100001
0010111001101010110110010111110 | 1101000110010101001001101000001 | 1101000110010100001001101000001
0010111000100011110111010111110 | 1101000111011100001000101000001 | 1101000111011100001000101000001
0000010100011111000101101111110 | 1111101011100000111010010000001 | 1111101011100000111010010000001
0000010101011111000101101111110 | 1111101010100000111010010000001 | 1111101010000000111010000000000
1000010000000011000000000000001 | 0111101111111100111111111111110 | 0111101111111100111111111111110
1100110000000011100000000000001 | 0011001111111100011111111111110 | 0011001111111100001111111111110
1111110000000011110000000000001 | 0000001111111100001111111111110 | 0000001111111100001111111111110
1100100010000110101000000000001 | 0011011101111001010111111111110 | 0011011101111001010111111111110
1111100010000100111000000000001 | 0000011101111011000111111111110 | 0000011101111011000111111111110
1111000101001110010101000000001 | 0000111010110001101010111111110 | 0000111010110001101010111111110
1111101011100000111010010000001 | 0000010100011111000101101111110 | 0000010100011111000101101111110
1111000101000110010101001000001 | 0000111010111001101010110111110 | 0000111010111001101010110101100
1101000111011100001000101000001 | 0010111000100011110111010111110 | 0010111000100011110111010111110
1101000110010100001001101000001 | 0010111001101011110110010111110 | 0010111001101010110110010111110
1101000110010000001101101000001 | 0010111001101111110010010111110 | 0010111001101110010010010111100
1111110000000011000110001100001 | 0000001111111100111001110011110 | 0000001111111100111001110011110
1000010000000011110110001100001 | 0111101111111100001001110011110 | 0111101111111100001001110011110
1111100010000100001110001100001 | 0000011101111011110001110011110 | 0000011101111011110001110011110
1101000100010000001100000010001 | 0010111011101111110011111101110 | 0010111011101111110011111101110
1101000110010000001100000010001 | 0010111001101111110011111101110 | 0010111001101111110011111100110
1101000110010100001100000010001 | 0010111001101011110011111101110 | 0010111001101011110001111100110
1101000111011000001101000010001 | 0010111000100111110010111101110 | 0010111000100110110010111100110
1111000001000110011000100010001 | 0000111110111001100111011101110 | 0000111110111001100111010101110
1101000111010000001100100010001 | 0010111000101111110011011101110 | 0010111000101111010011011100010
1101000110010000000001101010001 | 0010111001101111111110010101110 | 0010111001101111101110010101010
1111100010000100110101101010001 | 0000011101111011001010010101110 | 0000011101111011001010010101110
1100100010000110010011100110001 | 0011011101111001101100011001110 | 0011011101111001101100011001110
1101000100010000111100110001001 | 0010111011101111000011001110110 | 0010111011101111000011001110110
0111101111111100000010101001001 | 1000010000000011111101010110110 | 0000000000000001111101010110110
0000001111111110110010101001001 | 1111110000000001001101010110110 | 1111110000000000001101010110110
1111100010000100000101011001001 | 0000011101111011111010100110110 | 0000011101111011111010100110110
1111110000000011001101011001001 | 0000001111111100110010100110110 | 0000001111111100110010100110110
1000010000000011111101011001001 | 0111101111111100000010100110110 | 0111101111111100000010100110110
0011011101111001011100100101001 | 1100100010000110100011011010110 | 1100100010000110100011011010110
0011001111111100000100111101001 | 1100110000000011111011000010110 | 1100110000000001111010000010100
1101000100010000001010111101001 | 0010111011101111110101000010110 | 0010111011101111110101000010110
0000010111101101011110100111001 | 1111101000010010100001011000110 | 1111101000010010100001011000110
0011011101111001010111100111001 | 1100100010000110101000011000110 | 1100100010000110101000000000000
0000001111111100000110111111001 | 1111110000000011111001000000110 | 1111110000000001110000000000000
1000010000000011000110111111001 | 0111101111111100111001000000110 | 0111101111111100111001000000110
1111000101001111000010101000101 | 0000111010110000111101010111010 | 0000111010110000111101010111010
0010110111100000111011111000101 | 1101001000011111000100000111010 | 1101001000011111000100000111010
0000111010111001101010110100101 | 1111000101000110010101001011010 | 1111000101000110010101001000000
1101000100010001100000001100101 | 0010111011101110011111110011010 | 0010111011101110011111110011010
0010111001101010010110111100101 | 1101000110010101101001000011010 | 1101000110010101101000000011010
0010111000100110010110111100101 | 1101000111011001101001000011010 | 1101000111011001100001000011010
0000010111101100111001111100101 | 1111101000010011000110000011010 | 1111101000010011000110000011010
1111100010000101100010000010101 | 0000011101111010011101111101010 | 0000011101111010011101111101010
1100100010000111110010000010101 | 0011011101111000001101111101010 | 0011011101111000001101111101010
1100110000000011111010000010101 | 0011001111111100000101111101010 | 0011001111111100000100111101000
1111101011100001100000010010101 | 0000010100011110011111101101010 | 0000010100011110011111101101010
0011011101111000001011011010101 | 1100100010000111110100100101010 | 1100100010000111100100000001010
0000110110111110010100110110101 | 1111001001000001101011001001010 | 1111001001000001101011001001010
0001111110111000000110110110101 | 1110000001000111111001001001010 | 1110000001000111111001001001010
1100100010000111000100001110101 | 0011011101111000111011110001010 | 0011011101111000111011110001010
1000010000000010101100001110101 | 0111101111111101010011110001010 | 0111101111111101010011110001010
0000011100110000111011111110101 | 1111100011001111000100000001010 | 1100100010000111000100000001010
0011011101111000111101000001101 | 1100100010000111000010111110010 | 1100100010000111000010111110010
0000111110111001100111010001101 | 1111000001000110011000101110010 | 1111000001000110011000100010000
1101001000100001101101101001101 | 0010110111011110010010010110010 | 0010110111011110010010010110010
0000111110111000111011101001101 | 1111000001000111000100010110010 | 1110000001000111000100010000010
0011011101111001101100011001101 | 1100100010000110010011100110010 | 1100100010000110010011100110000
1101000100010001101011011001101 | 0010111011101110010100100110010 | 0010111011101110010100100110010
0000111010111000110110001101101 | 1111000101000111001001110010010 | 1111000101000111001000110010010
0011011101111000001011001101101 | 1100100010000111110100110010010 | 1100100010000111110100110010010
0000010111101101010101111101101 | 1111101000010010101010000010010 | 1111101000010010101010000010000
0000110110111110011111100011101 | 1111001001000001100000011100010 | 1111001001000001100000011100010
0011011101111000000110100111101 | 1100100010000111111001011000010 | 1100100010000111111001011000010
0000111010110000111011100111101 | 1111000101001111000100011000010 | 1111000101001111000100011000010
0000110110111110101001101111101 | 1111001001000001010110010000010 | 1111001001000001010110010000010
1110000001000111000100011111101 | 0001111110111000111011100000010 | 0001111110111000111011100000010
1111001000100001010110000000011 | 0000110111011110101001111111100 | 0000110111011110101001101110100
0001111110111000111011100000011 | 1110000001000111000100011111100 | 1110000001000111000100011111100
1110000001000111000100010000011 | 0001111110111000111011101111100 | 0001111110111000111011101111100
1111001001100001010110010000011 | 0000110110011110101001101111100 | 0000110110011110101001101110100
1111000101001111000100011000011 | 0000111010110000111011100111100 | 0000111010110000111011100111100
1111100010000101101001011000011 | 0000011101111010010110100111100 | 0000011101111010010110100111100
1100100010000111111001011000011 | 0011011101111000000110100111100 | 0011011101111000000110100111100
1101001000100001100000001100011 | 0010110111011110011111110011100 | 0010110111011110011111110011100
0010111001101011010001011100011 | 1101000110010100101110100011100 | 1101000110010100001100000010000
1101000100010001100110111100011 | 0010111011101110011001000011100 | 0010111011101110011001000011100
1111100010000101100100110010011 | 0000011101111010011011001101100 | 0000011101111010011011001101100
1100100010000111110100110010011 | 0011011101111000001011001101100 | 0011011101111000001011001101100
0000010101111111001100101010011 | 1111101010000000110011010101100 | 1111101010000000110001010101000
0010110111100000111011100110011 | 1101001000011111000100011001100 | 1101001000011111000100001000100
0000111010110000111101010110011 | 1111000101001111000010101001100 | 1111000101001111000010101000100
1100100010000111000010111110011 | 0011011101111000111101000001100 | 0011011101111000111101000001100
1000010000000010101010111110011 | 0111101111111101010101000001100 | 0111101111111101010101000001100
0000111010110001101010111110011 | 1111000101001110010101000001100 | 1111000101001110010101000000000
