ReducedComplementCBA:
Count: 170
csEqCBA | complement | reduced complement
0000010101011111000101101111110 | 1111101010100000111010010000001 | 1111101010000000111010000000000
1000010000000011000000000000001 | 0111101111111100111111111111110 | 0111101111111100111111111111110
1100100010000110101000000000001 | 0011011101111001010111111111110 | 0011011101111001010111111111110
1111100010000100111000000000001 | 0000011101111011000111111111110 | 0000011101111011000111111111110
1111000101001110010101000000001 | 0000111010110001101010111111110 | 0000000000000001111111101001110
1111000101000110010101001000001 | 0000111010111001101010110111110 | 0000111010111001101010110101100
1101000110010100001001101000001 | 0010111001101011110110010111110 | 1100110000000000001111011110110
1101000110010000001101101000001 | 0010111001101111110010010111110 | 0010111001101110010010010111100
1111000101000110110111000100001 | 0000111010111001001000111011110 | 1101000110010100000101101010000
1111110000000011000110001100001 | 0000001111111100111001110011110 | 0000001111111100111001110011110
1000010000000011110110001100001 | 0111101111111100001001110011110 | 0111101111111100001001110011110
1111100010000100001110001100001 | 0000011101111011110001110011110 | 0000011101111011110001110011110
1111100010000100111110001100001 | 0000011101111011000001110011110 | 1111101000010011110000000000100
1101000110010000001100000010001 | 0010111001101111110011111101110 | 0010111001101111110011111100110
1111101000010010101010000010001 | 0000010111101101010101111101110 | 1100110000000001011111010110110
1111001001010100001010100010001 | 0000110110101011110101011101110 | 1100110000000001111010000010100
1101000110010000000001101010001 | 0010111001101111111110010101110 | 0010111001101111101110010101010
1111100010000100110101101010001 | 0000011101111011001010010101110 | 0000011101111011001010010101110
1101000110010000001101101010001 | 0010111001101111110010010101110 | 1101000110010100001100000010000
1111101010000100000011100110001 | 0000010101111011111100011001110 | 1100110000000001011110000011110
1100100010000110010011100110001 | 0011011101111001101100011001110 | 0011011101111001101100011001110
1100100010000110110011100110001 | 0011011101111001001100011001110 | 1111000101001110010101001000000
1101000110010000111010001110001 | 0010111001101111000101110001110 | 1111101010000000110001010101000
0111101111111100000010101001001 | 1000010000000011111101010110110 | 0000000000000001111101010110110
1111100010000100000101011001001 | 0000011101111011111010100110110 | 0000011101111011111010100110110
1111100010000100001101011001001 | 0000011101111011110010100110110 | 1111101000010010111010000010000
1111110000000011001101011001001 | 0000001111111100110010100110110 | 0000001111111100110010100110110
1000010000000011111101011001001 | 0111101111111100000010100110110 | 0111101111111100000010100110110
1111101010100000110001010101001 | 0000010101011111001110101010110 | 1111101010000001101010000010100
1101000110010000110001011011001 | 0010111001101111001110100100110 | 1101000110010101101000000011010
0000010111101101011110100111001 | 1111101000010010100001011000110 | 1111101000010010100001011000110
1000010000000011000110111111001 | 0111101111111100111001000000110 | 0111101111111100111001000000110
1111000101000111010110100000101 | 0000111010111000101001011111010 | 1101000110010100001101101000000
1101000110010001011011101000101 | 0010111001101110100100010111010 | 1111101010010100000011100110000
0000010111101100111001111100101 | 1111101000010011000110000011010 | 1111101000010011000110000011010
1111100010000101100010000010101 | 0000011101111010011101111101010 | 0000011101111010011101111101010
1100100010000111110010000010101 | 0011011101111000001101111101010 | 0011011101111000001101111101010
1100100010000111000100001110101 | 0011011101111000111011110001010 | 0011011101111000111011110001010
1000010000000010101100001110101 | 0111101111111101010011110001010 | 0111101111111101010011110001010
0000010111101101010101111101101 | 1111101000010010101010000010010 | 1111101000010010101010000010000
0000111010110000111011100111101 | 1111000101001111000100011000010 | 1111000101001111000100011000010
1111100010000101101001011000011 | 0000011101111010010110100111100 | 0000011101111010010110100111100
1100100010000111111001011000011 | 0011011101111000000110100111100 | 0011011101111000000110100111100
1111000101000111001000110010011 | 0000111010111000110111001101100 | 1101000110010100001111010111000
1111100010000101100100110010011 | 0000011101111010011011001101100 | 0000011101111010011011001101100
1100100010000111110100110010011 | 0011011101111000001011001101100 | 0011011101111000001011001101100
0000111010110000111101010110011 | 1111000101001111000010101001100 | 1111000101001111000010101000100
1100100010000111000010111110011 | 0011011101111000111101000001100 | 0011011101111000111101000001100
1000010000000010101010111110011 | 0111101111111101010101000001100 | 0111101111111101010101000001100
0000111010110001101010111110011 | 1111000101001110010101000001100 | 1111000101001110010101000000000
1100100010000111000100000001011 | 0011011101111000111011111110100 | 0011011101111000111011111110100
1100100010000111100100000001011 | 0011011101111000011011111110100 | 0011011101111000001011011010100
1100110000000011001100000001011 | 0011001111111100110011111110100 | 0000001111111100110010111110000
1000010000000010101100000001011 | 0111101111111101010011111110100 | 0111101111111101010011111110100
1000010000000011101100000001011 | 0111101111111100010011111110100 | 0111101111111100000010111110000
1101000110010001100000000011011 | 0010111001101110011111111100100 | 0010111001101110010110111100100
0000010101101011110001110011011 | 1111101010010100001110001100100 | 1111101010000001110000000010100
0000010111101100111001110011011 | 1111101000010011000110001100100 | 1111101000010011000110001100100
0000010101101010100110111111011 | 1111101010010101011001000000100 | 1101000110010100001001101000000
1111100010000100001000111100111 | 0000011101111011110111000011000 | 0000011101111011110111000011000
1100100010000110100011011010111 | 0011011101111001011100100101000 | 0011011101111001011100100101000
1111100010000100000101010110111 | 0000011101111011111010101001000 | 0000011101111011111010101001000
1000010000000010111101010110111 | 0111101111111101000010101001000 | 0111101111111100000010101001000
1111100010000100001110000011111 | 0000011101111011110001111100000 | 0000011101111011110001111100000
0000010111101101011000010111111 | 1111101000010010100111101000000 | 1111101000010010100111101000000
